epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41161,2.97737,17.8201,1.66978,0,0,0,0,0,14.151,0,0,0,0
2,5.23005,2.34142,9.30163,1.20866,0,0,0,0,0,14.1647,0,1.63399e-05,1.63399e-05,1.63399e-05
3,6.97574,3.2855,18.2722,1.32451,0,0,0,0,0,14.1814,0,3.20197e-05,3.20197e-05,3.20197e-05
4,8.70292,2.75943,9.47948,1.31267,0,0,0,0,0,14.1991,0,4.70394e-05,4.70394e-05,4.70394e-05
5,10.4002,2.33607,9.0646,1.26725,0,0,0,0,0,14.2202,0,6.13989e-05,6.13989e-05,6.13989e-05
6,12.1166,2.69487,13.096,1.48757,0,0,0,0,0,14.2434,0,7.50984e-05,7.50984e-05,7.50984e-05
7,13.9385,1.88894,12.3385,1.10718,0,0,0,0,0,14.2657,0,8.81376e-05,8.81376e-05,8.81376e-05
8,17.1082,2.80746,13.9455,1.6754,0,0,0,0,0,14.2812,0,0.000100517,0.000100517,0.000100517
9,18.9439,1.76729,14.0512,0.9358,0,0,0,0,0,14.2902,0,0.000112236,0.000112236,0.000112236
10,20.6577,1.75872,5.81985,1.19188,0,0,0,0,0,14.2935,0,0.000123295,0.000123295,0.000123295
11,22.9816,1.67036,6.14802,0.94831,0,0,0,0,0,14.2916,0,0.000133693,0.000133693,0.000133693
12,25.8479,2.53844,16.0876,1.75168,0,0,0,0,0,14.2857,0,0.000143432,0.000143432,0.000143432
13,27.6195,1.91054,7.13093,1.05412,0,0,0,0,0,14.2761,0,0.00015251,0.00015251,0.00015251
14,29.8978,1.66291,5.88901,1.03122,0,0,0,0,0,14.2655,0,0.000160929,0.000160929,0.000160929
15,31.6335,1.46834,8.46199,0.86653,0,0,0,0,0,14.2596,0,0.000168687,0.000168687,0.000168687
16,33.3598,1.38415,6.71905,0.90171,0,0,0,0,0,14.2657,0,0.000175785,0.000175785,0.000175785
17,35.0808,1.73849,9.77295,1.12019,0,0,0,0,0,14.2947,0,0.000182223,0.000182223,0.000182223
18,36.7816,1.49514,3.7144,0.97158,0,0,0,0,0,14.2947,0,0.000188001,0.000188001,0.000188001
19,38.9473,1.35729,3.99914,1.00813,0,0,0,0,0,14.342,0,0.000193119,0.000193119,0.000193119
20,41.0314,1.0662,5.82453,0.8214,0,0,0,0,0,14.342,0,0.000197576,0.000197576,0.000197576
21,42.8047,1.42389,5.13174,0.98616,0,0,0,0,0,14.4059,0,0.000201374,0.000201374,0.000201374
22,44.7716,2.11035,7.75127,1.18262,0,0,0,0,0,14.4059,0,0.000204511,0.000204511,0.000204511
23,47.345,1.92163,6.94077,0.90743,0,0,0,0,0,14.4732,0,0.000206988,0.000206988,0.000206988
24,49.2412,1.63691,4.14792,0.98647,0,0,0,0,0,14.4732,0,0.000208805,0.000208805,0.000208805
25,50.9543,1.25881,4.75812,0.98213,0,0,0,0,0,14.541,0,0.000209962,0.000209962,0.000209962
26,53.4049,1.36207,4.16735,0.99298,0,0,0,0,0,14.541,0,0.000210459,0.000210459,0.000210459
27,56.0535,1.51466,3.96736,0.99129,0,0,0,0,0,14.5929,0,0.000210295,0.000210295,0.000210295
28,59.3339,1.01578,8.01689,0.90926,0,0,0,0,0,14.5929,0,0.000209472,0.000209472,0.000209472
29,61.2598,0.92504,12.6849,0.78536,0,0,0,0,0,14.6232,0,0.000207988,0.000207988,0.000207988
30,63.55,1.20587,4.79094,0.99575,0,0,0,0,0,14.6232,0,0.000205844,0.000205844,0.000205844
31,65.3087,1.20121,4.35402,1.00051,0,0,0,0,0,14.6016,0,0.000203041,0.000203041,0.000203041
32,67.1176,1.2139,11.2512,0.89633,0,0,0,0,0,14.6016,0,0.000199577,0.000199577,0.000199577
33,68.8532,1.39149,4.29911,0.91915,0,0,0,0,0,14.5167,0,0.000195452,0.000195452,0.000195452
34,70.5596,1.16596,6.50054,0.90613,0,0,0,0,0,14.5167,0,0.000190668,0.000190668,0.000190668
35,72.2888,1.47113,3.59779,0.98229,0,0,0,0,0,14.4564,0,0.000185224,0.000185224,0.000185224
36,74.008,1.15481,20.7052,0.7375,0,0,0,0,0,14.4564,0,0.000179119,0.000179119,0.000179119
37,75.7292,0,66.5926,0,0,0,0,0,0,14.4141,0,0.000172354,0.000172354,0.000172354
38,77.4081,0,64.7921,0,0,0,0,0,0,14.4141,0,0.00016493,0.00016493,0.00016493
39,80.2041,1.5011,5.07114,0.88751,0,0,0,0,0,14.3491,0,0.000156845,0.000156845,0.000156845
40,83.2274,1.1174,5.06337,0.91786,0,0,0,0,0,14.3491,0,0.0001481,0.0001481,0.0001481
41,85.3217,1.23317,6.46601,1.01311,0,0,0,0,0,14.2375,0,0.000138694,0.000138694,0.000138694
42,87.6912,1.27071,6.23461,1.06445,0,0,0,0,0,14.2375,0,0.000128629,0.000128629,0.000128629
43,89.9063,1.15851,6.71436,1.01059,0,0,0,0,0,14.1383,0,0.000117904,0.000117904,0.000117904
44,92.1761,1.36104,10.5501,0.69991,0,0,0,0,0,14.1383,0,0.000106518,0.000106518,0.000106518
45,94.3898,1.37568,8.43164,0.94699,0,0,0,0,0,14.0605,0,9.44722e-05,9.44722e-05,9.44722e-05
46,96.5965,1.2777,7.12808,0.86892,0,0,0,0,0,14.0605,0,8.17663e-05,8.17663e-05,8.17663e-05
47,98.7577,1.41592,7.46825,1.0188,0,0,0,0,0,13.9986,0,6.84003e-05,6.84003e-05,6.84003e-05
48,100.879,1.83133,7.97681,1.07793,0,0,0,0,0,13.9986,0,5.43742e-05,5.43742e-05,5.43742e-05
49,103.532,1.32154,8.63128,0.87579,0,0,0,0,0,13.9518,0,3.96879e-05,3.96879e-05,3.96879e-05
50,105.711,1.04979,8.26957,0.84531,0,0,0,0,0,13.9518,0,2.43415e-05,2.43415e-05,2.43415e-05
